楼盘,具体位置,户型,楼盘状态
北京城建・宽院・国誉府,[大兴] 首镇路与育镇街交口西北侧,4居/ 5居 － 152~240平米,在售 叠拼 品牌地产 低密居所 低总价
中海寰宇时代,[大兴] 地铁8号线瀛海站北200米,中海寰宇时代在售价格为：260万元/套起,待售 限竞房 普通住宅 品牌地产 花园洋房
首创远洋・禧瑞天著,[大兴] 科创十一街与经海九路交汇处西南角(亦庄...,2居/ 3居/ 4居 － 89~138平米,在售 限竞房 普通住宅 品牌地产 低总价
中海云筑,[大兴] 庞各庄桥西1500米,3居 － 89平米,在售 普通住宅 品牌地产 低总价
住总如院,[大兴] 采育镇采华路南端住总・如院售楼处,3居/ 4居/ 5居 － 98~448平米,待售 独栋 叠拼 品牌地产 低密居所
中国铁建・花语府,[大兴] 南海子公园西侧(南五环旧忠桥向南第二个...,3居 － 150平米,在售 普通住宅 花园洋房 品牌地产
中铁华侨城・和园,[大兴] 五环南海子公园西,2居/ 3居 － 153~290平米,在售 普通住宅 叠拼 品牌地产
中国铁建・国际公馆,[大兴] 经济技术开发区河西区四合路与兴海一街...,2居/ 3居/ 4居 － 80~150平米,在售 限竞房 品牌地产 国际化社区 景观居所
金隅学府,[大兴] 博兴十路与兴海路交叉口,2居/ 3居/ 4居 － 82~139平米,在售 普通住宅 花园洋房 品牌地产 低密居所
金悦府,[大兴] 义和庄地铁站北600米,2居/ 3居/ 4居 － 73~341平米,在售 普通住宅 品牌地产 低总价 湖景地产
江山风华,[大兴] 地铁4号线清源路站西侧800米(北京小学大...,3居/ 4居 － 89~136平米,在售 限竞房 普通住宅 品牌地产 景观居所
林肯时代,[大兴] 荣京西街(荣京东街地铁站西600米),林肯时代均价39800�O 顺销中,在售 其他
绿地・海珀云翡,[大兴] 兴亦路京开高速东侧,2居/ 3居 － 102~178平米,在售 普通住宅 品牌地产
亦庄金茂府,[大兴] 亦庄经济开发区博兴西路与泰河三街交叉...,3居/ 4居 － 180~210平米,在售 普通住宅 叠拼 品牌地产 低密居所
北京城建・北京密码,[大兴] 魏善庄镇龙江路北侧200米处,北京城建・北京密码均价为：25000元/平方米,在售 综合体 商业 品牌地产
四季盛景园,[大兴] 魏善庄镇龙江路与龙善大街交叉口往东20...,1居/ 2居/ 3居 － 63~112平米,在售 普通住宅 共有产权房
林肯公园,[大兴] 经济技术开发区荣华北路,1居 － 220~268平米,在售 标准写字楼 地铁沿线
首开万科中心,[大兴] 地铁4号线义和庄站d口旁,首开万科中心甲级标准写字楼项目在售中,在售 其他
大兴金茂悦,[大兴] 南中轴与龙江路交汇处东300米(世界月季...,2居/ 3居/ 4居 － 74~104平米,在售 限竞房 花园洋房
国锐・金��,[大兴] 荣华中路与荣京西街交汇处西南角,3居/ 4居/ 5居 － 265~387平米,在售 普通住宅 品牌地产
瀛海府,[大兴] 德贤路瀛海出口东500米,瀛海府项目剩余少量合院别墅产品在售,在售 合院 限竞房 品牌地产
