楼盘,具体位置,户型,楼盘状态
中海首钢・长安云锦,[石景山] 古城南街,2居/ 3居/ 4居 － 74~138平米,在售 限竞房 普通住宅 品牌地产 低密居所
中海寰宇天下,[石景山] 阜石路与北辛安路交叉口南,2居/ 3居/ 4居 － 82~172平米,在售 普通住宅 品牌地产 国际化社区 低密居所
禧悦学府,[石景山] 西黄村地铁站北300米,2居/ 3居/ 4居 － 75~135平米,待售 限竞房 普通住宅 品牌地产 国际化社区
中海首钢・金裕雅苑,[石景山] 古城南街,1居/ 2居/ 3居 － 57~86平米,待售 共有产权房 品牌地产 低总价 小户型
绿城・西府海棠,[石景山] 隆恩寺路-秀府路口东北,3居/ 4居 － 90~135平米,在售 限竞房 花园洋房 品牌地产 国际化社区
绿地环球文化金融城,[石景山] 西长安街与古城大街交汇处西南角,绿地环球文化金融城140-180�O写字楼在售,在售 标准写字楼 品牌地产
卓越万科翡翠山晓,[石景山] 石门路东侧500米,3居 － 90平米,在售 花园洋房 品牌地产 低总价
远洋・五里春秋,[石景山] 五里坨黑石头路前行1000米,3居/ 4居/ 5居 － 90~500平米,在售 限竞房 叠拼 品牌地产 低密居所
泰禾长安中心,[石景山] 银河大街,泰禾长安中心60-300平写字楼在售,在售 其他 品牌地产
远洋天著春秋,[石景山] 八大处公园西南800米,远洋天著春秋均价为：95000元/平方米,在售 别墅 品牌地产 山景地产
紫御长安,"[石景山] 鲁谷路,西侧紧邻西五环,紧邻地铁一号线...",紫御长安项目总价240万/套起,在售 商业 国际化社区
中海金玺公馆商铺,[石景山] 石景山路地铁1号线古城站西500米,中海金玺公馆商铺已售完,售完 住宅底商 品牌地产 国际化社区
