楼盘,具体位置,户型,楼盘状态
山屿・西山著,[海淀] 温泉镇太舟坞,4居 － 225平米,在售 限竞房 普通住宅 品牌地产 宜居生态地产
北京城建・世华龙樾,[海淀] 清河小营桥东700米,4居 － 190~320平米,在售 普通住宅 品牌地产 低密居所
中铁碧桂园,[海淀] 永丰产业基地西北旺镇,2居 － 78~89平米,在售 普通住宅 共有产权房 品牌地产
葛洲坝北京紫郡兰园,[海淀] 北清路屯佃地铁站向南约2千米,3居/ 4居 － 89~139平米,在售 普通住宅 品牌地产 低总价 小户型
首创天阅西山,"[海淀] 永丰路与北清路交汇处东北角,中关村壹号...",4居 － 180~252平米,在售 普通住宅 品牌地产 公园地产
西钓鱼台・御玺,[海淀] 西钓鱼台嘉园北门东侧200米,3居/ 4居 － 174~248平米,在售 普通住宅 品牌地产 配套商品房 景观居所
万科翡翠书院,[海淀] 北清路与永澄北路交汇处北1000米处,3居/ 4居 － 90~180平米,出租 普通住宅 自持租赁 品牌地产 低密居所
恒盛・欧洲公馆,[海淀] 金沟河路16号,4居 － 172~238平米,在售 花园洋房 低密居所 景观居所 公园地产
强佑・府学上院,[海淀] 八达岭高速清河桥西南角,2居/ 3居 － 83~180平米,在售 普通住宅 品牌地产
华瞰・墨园,[海淀] 田村路39号院,华瞰・墨园已售完,售完 普通住宅
融汇国际大厦,[海淀] 高梁桥斜街42号,融汇国际大厦在售均价85000元/平,在售 标准写字楼
大苑海淀府,"[海淀] 田村路与田村东路交汇口往西300米,田村...",大苑海淀府项目开盘时间待定,待售 大平层 品牌地产 国际化社区 低密居所
香山四季,[海淀] 四季青桥向西1.8公里(第四个红绿灯右转...,4居/ 5居 － 245~636平米,在售 普通住宅 花园洋房 低密居所 公园地产
五矿万科・如园,[海淀] 西北旺镇永丰路百旺公园东侧,五矿万科・如园已售完,售完 普通住宅 品牌地产 低密居所 中式地产
冠城大通百旺府,[海淀] 北清路永丰产业基地东侧,3居/ 4居 － 113~204平米,在售 普通住宅 公园地产
万科翡翠云图,[海淀] 翠湖科技园东南侧,4居 － 146平米,在售 叠拼 花园洋房 品牌地产 国际化社区
金隅・金玉府,[海淀] 阜石路与上庄大街交汇处东南200米,2居/ 3居 － 98~138平米,在售 普通住宅 湖景地产
世茂西山龙胤,[海淀] 南沙河西路上庄大桥南口向西800米,5居/ 5居以上 － 680~1280平米,在售 别墅 品牌地产 国际化社区 低密居所
中关村翠湖科技园-云中心,[海淀] 温泉镇北清路和温阳路西南角,中关村翠湖科技园-云中心50年产权写字楼在售,在售 总部园区
万科・翠湖国际,[海淀] 忍冬路与景天路交叉口东50米,万科・翠湖国际项目独栋在售,在售 企业独栋 品牌地产
正源・尚峰尚水商铺,"[海淀] 温泉镇,京密引水渠南侧",正源・尚峰尚水商铺已售完,售完 住宅底商
G-PARK龙湖・云域,[海淀] 北清路与稻香湖路十字路口西南角,G-PARK龙湖・云域项目开盘时间待定,待售 其他 品牌地产
