楼盘,具体位置,户型,楼盘状态
阳光城・溪山悦,[密云] 京承高速密云收费站出口北行10公里密溪...,阳光城・溪山悦到访享5万购房惊喜大礼包,待售 普通住宅 品牌地产 国际化社区 低密居所
万科弗农小镇,[密云] 水库风景区南岸,2居/ 3居 － 75~211平米,在售 别墅 品牌地产 国际化社区 特色别墅
通用・博园,[密云] 通用博园小区南侧商业通用博园营销中心,2居/ 3居 － 70~105平米,在售 普通住宅 低密居所 宜居生态地产
阳光城君山墅,[密云] 溪翁庄镇白河畔密溪路33号,5居/ 5居以上 － 312~365平米,在售 别墅 景观居所 宜居生态地产 低密居所
观唐云鼎,[密云] 密溪路39号院,3居/ 4居/ 5居 － 140~606平米,在售 别墅 水景地产 宜居生态地产 中式地产
远大・美域,[密云] 密关路36号院,4居 － 237~289平米,在售 别墅 中式地产
京投发展・锦悦府,[密云] 久润东区东侧底商(檀西路与新北路交叉口...,3居 － 90~285平米,在售 普通住宅 叠拼 品牌地产 低密居所
碧桂园・琅辉,[密云] 新北路与檀西路交汇处,碧桂园・琅辉已售完,售完 普通住宅 品牌地产 低总价
首创・悦欣汇,[密云] 檀营乡檀西路东侧,2居 － 88平米,在售 共有产权房 品牌地产
奥园・北京源墅,[密云] 密关路与313省道交汇处(水库宾馆斜对面...,3居 － 110平米,在售 别墅 品牌地产 低密居所
首创・禧悦府,[密云] 城后街与新东路交叉口北500米,3居 － 112~115平米,在售 普通住宅 品牌地产 低密居所
首创・澜茵山,[密云] 京承高速16出口水库方向、白河公园300米...,2居/ 4居/ 5居 － 139~544平米,在售 别墅 水景地产 宜居生态地产
懿品府,[密云] 果园街道西大桥路38号北院,2居/ 3居 － 329~359平米,在售 别墅 低密居所 现房 特色别墅
华润�f象星座,[密云] 滨河路水源路交叉口东南角,华润�f象星座标准层户型面积2000平在售,在售 其他 品牌地产
