楼盘,具体位置,户型,楼盘状态
北京华发・中央公园,[房山] 地铁良乡大学城站南约900米,3居/ 4居 － 85~139平米,在售 普通住宅 商业 品牌地产 低总价
中国铁建・山语澜廷,[房山] 闫吕路中段,2居/ 3居/ 4居 － 75~113平米,待售 限竞房 叠拼 品牌地产 低密居所
中海金樾和著,[房山] 良常路官道路口西800米,4居 － 127平米,在售 限竞房 普通住宅 品牌地产 国际化社区
天恒・水岸壹号,[房山] 西五环・大学城西站南约800米,3居/ 4居 － 122~138平米,在售 普通住宅 叠拼 品牌地产 水景地产
首开・熙悦观湖,[房山] 青龙湖,3居 － 89平米,在售 普通住宅 叠拼 品牌地产 低密居所
天恒・摩墅,[房山] 周口店镇政府东,3居/ 4居 － 140~160平米,在售 别墅 品牌地产 宜居生态地产 公园地产
中海京西里,"[房山] 苏庄大街和长虹路交叉口,地铁苏庄站北侧...",3居 － 86平米,在售 限竞房 花园洋房 品牌地产 低密居所
九洲溪雅苑,[房山] 京港澳高速京良路长阳出口(19b出口)长阳...,3居/ 4居 － 147~211平米,在售 普通住宅 低密居所 现房 复式
旭辉城,[房山] 良乡良常路与京深路交口西侧约1500米,2居 － 75平米,在售 限竞房 普通住宅 品牌地产 低密居所
天恒・京西悦府,[房山] 京港澳高速阎村出口西行约1.5公里,3居/ 4居 － 96~175平米,在售 叠拼 花园洋房 品牌地产 低密居所
万科七橡墅,[房山] 燕房线周口店镇站北约800米,4居 － 330平米,在售 别墅 品牌地产 宜居生态地产
金融街・金悦嘉苑,"[房山] 房山线地铁南关站约4公里,良常路西侧",1居/ 2居/ 3居 － 45~105平米,在售 共有产权房 中式地产
V7荷塘月色,[房山] 长沟湿地公园南700米,3居 － 146~203平米,在售 别墅 水景地产 宜居生态地产
长阳光和作用,[房山] 长阳镇京良路西营路口向北900米,2居/ 3居 － 88~95平米,在售 普通住宅 花园洋房 现房 复式
五矿・名品,[房山] 房山线 良乡大学城站向东约800米路南,2居/ 3居/ 4居 － 131~166平米,在售 花园洋房
金地・大湖风华,[房山] 大苑村收费站出口(良坨路桥)左行250米右...,1居/ 3居/ 4居 － 67~142平米,在售 限竞房 花园洋房 品牌地产 低总价
世界名园,[房山] 京港澳高速窦店出口即达,2居/ 3居/ 4居 － 101~156平米,在售 普通住宅 花园洋房 低密居所 宜居生态地产
房山超级蜂巢,[房山] 地铁房山线苏庄站向南700米,房山超级蜂巢毛坯交房 均价24000元/平米,在售 标准写字楼 总部园区
长海御墅,[房山] 长沟国家湿地公园南侧,3居/ 4居/ 5居 － 297~435平米,在售 别墅 旅游地产
熙湖悦著,[房山] 大苑村收费站出口(良坨路桥)左行200米,2居/ 3居 － 73~353平米,在售 叠拼 花园洋房 品牌地产 国际化社区
北京城建・国誉府,[房山] 长阳镇文昌东路与阜盛东街交汇处,2居/ 4居/ 5居 － 162~253平米,在售 普通住宅 中式地产
中粮・京西祥云,[房山] 房山线稻田站北行800米处,4居 － 125~140平米,在售 普通住宅 品牌地产
首创・伊林郡,[房山] 京港澳高速22b良乡机场出口处,首创・伊林郡毛坯 户型158-200平在售,在售 普通住宅 品牌地产 低总价
观山源墅,[房山] 良乡・阳光北大街与多宝路交汇处西南,3居/ 4居/ 5居 － 150~325平米,在售 别墅 品牌地产
天恒乐墅,[房山] 阎村镇紫码路西行1500米,4居 － 184~253平米,在售 别墅 品牌地产
万年・广阳郡九号,[房山] 清苑南街,3居/ 4居 － 166~189平米,待售 普通住宅 低密居所
天资华府,[房山] csd商务大厦东侧,2居/ 3居/ 5居/ 5居以上 － 94~292平米,在售 普通住宅 品牌地产
房山超级蜂巢,[房山] 地铁苏庄站向南700米,1居/ 2居 － 38~119平米,在售 商业 低总价
远洋新街口,[房山] 良乡大学城地铁站东约400米,远洋新街口项目目前商铺均价45000元/�O,在售 市场类商铺 品牌地产
